행정기관,총 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,여 거주자수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
대구광역시 북구 칠성동,"23,261","23,261","1,519","2,318","2,552","3,552","3,749","3,715","2,888","1,861",936,163,8,"11,047","11,047",768,"1,101","1,187","1,799","1,823","1,808","1,366",814,332,49,0,"12,214","12,214",751,"1,217","1,365","1,753","1,926","1,907","1,522","1,047",604,114,8
대구광역시 북구 침산1동,"3,444","3,444",87,158,253,309,346,588,888,564,209,40,2,"1,824","1,824",46,88,145,189,200,331,471,270,77,7,0,"1,620","1,620",41,70,108,120,146,257,417,294,132,33,2
대구광역시 북구 침산2동,"17,806","17,806","1,391","2,256","1,714","2,356","3,083","2,981","2,095","1,255",585,86,4,"8,496","8,496",698,"1,100",858,"1,170","1,490","1,412",996,518,222,31,1,"9,310","9,310",693,"1,156",856,"1,186","1,593","1,569","1,099",737,363,55,3
대구광역시 북구 침산3동,"17,721","17,721","1,012","1,888","1,697","1,763","2,558","3,311","2,789","1,707",868,128,0,"8,388","8,388",527,942,883,891,"1,193","1,565","1,308",719,327,33,0,"9,333","9,333",485,946,814,872,"1,365","1,746","1,481",988,541,95,0
대구광역시 북구 산격1동,"7,387","7,387",89,283,439,569,625,"1,259","1,851","1,439",735,97,1,"3,585","3,585",48,145,248,336,351,680,938,562,256,21,0,"3,802","3,802",41,138,191,233,274,579,913,877,479,76,1
대구광역시 북구 산격2동,"9,378","9,378",274,672,"1,007",963,"1,011","1,696","2,013","1,149",524,66,3,"4,555","4,555",136,347,541,554,506,799,964,500,193,14,1,"4,823","4,823",138,325,466,409,505,897,"1,049",649,331,52,2
대구광역시 북구 산격3동,"8,371","8,371",127,455,"2,696",936,690,976,"1,148",901,381,60,1,"4,350","4,350",71,209,"1,391",620,419,553,547,395,130,15,0,"4,021","4,021",56,246,"1,305",316,271,423,601,506,251,45,1
대구광역시 북구 산격4동,"6,958","6,958",125,351,808,753,716,"1,174","1,464","1,044",462,61,0,"3,608","3,608",75,191,445,483,436,618,687,467,184,22,0,"3,350","3,350",50,160,363,270,280,556,777,577,278,39,0
대구광역시 북구 대현동,"15,593","15,593",460,"1,061","2,782","1,466","1,781","2,443","2,556","1,868","1,021",154,1,"7,872","7,872",238,535,"1,713",867,916,"1,246","1,182",776,362,37,0,"7,721","7,721",222,526,"1,069",599,865,"1,197","1,374","1,092",659,117,1
대구광역시 북구 복현1동,"7,101","7,101",92,337,"2,648",886,579,902,888,547,193,29,0,"4,011","4,011",51,158,"1,546",623,352,516,428,258,69,10,0,"3,090","3,090",41,179,"1,102",263,227,386,460,289,124,19,0
대구광역시 북구 복현2동,"28,718","28,718","1,644","2,995","3,661","3,734","4,067","4,838","4,489","2,281",860,145,4,"14,203","14,203",836,"1,525","2,096","2,019","2,010","2,218","2,095","1,066",307,31,0,"14,515","14,515",808,"1,470","1,565","1,715","2,057","2,620","2,394","1,215",553,114,4
대구광역시 북구 검단동,"5,399","5,399",116,271,391,546,636,866,"1,234",885,392,62,0,"2,615","2,615",60,151,206,319,343,462,547,383,130,14,0,"2,784","2,784",56,120,185,227,293,404,687,502,262,48,0
대구광역시 북구 무태조야동,"32,525","32,525","1,928","3,230","3,308","3,115","5,028","7,054","4,830","2,810","1,070",150,2,"16,582","16,582","1,007","1,688","1,804","1,661","2,530","3,698","2,436","1,308",422,27,1,"15,943","15,943",921,"1,542","1,504","1,454","2,498","3,356","2,394","1,502",648,123,1
대구광역시 북구 관문동,"32,018","32,018","2,462","3,381","2,636","3,725","5,573","5,574","5,002","2,576",944,141,4,"15,812","15,812","1,230","1,760","1,386","1,895","2,868","2,731","2,403","1,176",340,23,0,"16,206","16,206","1,232","1,621","1,250","1,830","2,705","2,843","2,599","1,400",604,118,4
대구광역시 북구 태전1동,"21,132","21,132",707,"1,621","3,388","2,320","2,362","3,847","3,830","1,991",895,169,2,"10,525","10,525",392,793,"1,767","1,337","1,217","1,899","1,839",932,314,35,0,"10,607","10,607",315,828,"1,621",983,"1,145","1,948","1,991","1,059",581,134,2
대구광역시 북구 태전2동,"21,618","21,618",859,"1,865","2,594","2,328","2,633","4,122","3,996","2,190",899,126,6,"10,490","10,490",433,992,"1,403","1,256","1,326","1,908","1,893",904,345,30,0,"11,128","11,128",426,873,"1,191","1,072","1,307","2,214","2,103","1,286",554,96,6
대구광역시 북구 구암동,"30,265","30,265","1,198","3,477","3,817","2,730","4,042","6,974","4,892","1,956","1,024",150,5,"14,672","14,672",593,"1,768","2,024","1,484","1,845","3,311","2,416",845,358,28,0,"15,593","15,593",605,"1,709","1,793","1,246","2,197","3,663","2,476","1,111",666,122,5
대구광역시 북구 관음동,"13,648","13,648",362,973,"1,433","1,261","1,429","2,836","3,024","1,555",666,107,2,"6,863","6,863",192,511,819,745,732,"1,381","1,498",735,227,23,0,"6,785","6,785",170,462,614,516,697,"1,455","1,526",820,439,84,2
대구광역시 북구 읍내동,"24,651","24,651","1,091","1,963","2,954","2,879","2,795","4,891","4,704","2,176","1,007",187,4,"12,218","12,218",551,"1,046","1,631","1,582","1,403","2,278","2,292","1,018",371,46,0,"12,433","12,433",540,917,"1,323","1,297","1,392","2,613","2,412","1,158",636,141,4
대구광역시 북구 동천동,"24,707","24,707","1,222","2,967","3,264","2,424","3,381","5,962","3,255","1,321",802,107,2,"11,854","11,854",629,"1,552","1,739","1,255","1,473","2,757","1,648",509,259,31,2,"12,853","12,853",593,"1,415","1,525","1,169","1,908","3,205","1,607",812,543,76,0
대구광역시 북구 노원동,"10,958","10,958",456,569,860,"1,425","1,272","1,888","2,365","1,533",534,55,1,"5,620","5,620",248,280,447,803,727,985,"1,192",704,218,15,1,"5,338","5,338",208,289,413,622,545,903,"1,173",829,316,40,0
대구광역시 북구 국우동,"29,262","29,262","1,760","3,290","3,784","3,801","4,445","6,007","3,615","1,607",805,146,2,"14,457","14,457",909,"1,709","1,903","2,014","2,137","2,931","1,893",679,246,36,0,"14,805","14,805",851,"1,581","1,881","1,787","2,308","3,076","1,722",928,559,110,2
대구광역시 수성구 범어1동,"22,626","22,626","2,312","3,186","1,980","2,775","4,278","3,732","2,284","1,320",652,106,1,"10,837","10,837","1,160","1,574",987,"1,276","2,032","1,804","1,131",572,262,39,0,"11,789","11,789","1,152","1,612",993,"1,499","2,246","1,928","1,153",748,390,67,1
대구광역시 수성구 범어2동,"14,943","14,943","1,000","1,677","1,904","1,922","2,379","2,438","1,848","1,107",570,95,3,"7,106","7,106",504,837,895,902,"1,140","1,144",918,495,239,32,0,"7,837","7,837",496,840,"1,009","1,020","1,239","1,294",930,612,331,63,3
대구광역시 수성구 범어3동,"17,032","17,032","1,722","2,260","1,734","2,363","3,179","2,877","1,622",832,372,71,0,"8,112","8,112",881,"1,041",882,"1,083","1,521","1,372",793,364,146,29,0,"8,920","8,920",841,"1,219",852,"1,280","1,658","1,505",829,468,226,42,0
대구광역시 수성구 범어4동,"18,481","18,481","1,346","4,186","1,530","1,047","4,331","3,152","1,468",950,401,70,0,"9,090","9,090",721,"2,218",856,487,"1,912","1,598",713,407,160,18,0,"9,391","9,391",625,"1,968",674,560,"2,419","1,554",755,543,241,52,0
